Element Number,Area,Von Mises Stress
305,2.46E-03,4.24E-02
306,2.39E-03,6.17E-02
307,2.75E-03,2.97E-02
308,2.77E-03,6.05E-02
309,2.05E-03,0.10771
310,2.01E-03,0.13534
311,2.58E-03,8.50E-02
312,2.54E-03,6.09E-02
313,2.57E-03,6.17E-02
314,2.38E-03,5.10E-02
315,2.47E-03,5.65E-02
316,2.23E-03,3.93E-02
317,2.30E-03,4.51E-02
318,2.11E-03,3.01E-02
319,2.14E-03,3.41E-02
320,2.06E-03,2.52E-02
321,2.10E-03,2.72E-02
322,2.10E-03,2.27E-02
323,2.07E-03,2.38E-02
324,2.08E-03,2.05E-02
325,2.11E-03,2.17E-02
326,2.04E-03,1.84E-02
327,2.05E-03,1.93E-02
328,2.10E-03,1.77E-02
329,2.06E-03,1.79E-02
330,2.21E-03,1.85E-02
331,2.17E-03,1.79E-02
332,2.35E-03,2.03E-02
333,2.28E-03,1.93E-02
334,2.44E-03,2.21E-02
335,2.40E-03,2.12E-02
336,2.50E-03,2.30E-02
337,2.47E-03,2.27E-02
338,2.54E-03,2.25E-02
339,2.52E-03,2.29E-02
340,2.48E-03,2.05E-02
341,2.52E-03,2.17E-02
342,2.38E-03,1.68E-02
343,2.42E-03,1.89E-02
344,2.35E-03,1.20E-02
345,2.38E-03,1.44E-02
346,2.40E-03,8.08E-03
347,2.40E-03,9.77E-03
348,2.15E-03,7.42E-03
349,1.99E-03,7.76E-03
350,2.65E-03,1.28E-02
351,2.37E-03,9.82E-03
352,2.73E-03,2.30E-02
353,2.81E-03,1.72E-02
354,2.67E-03,3.01E-02
355,1.79E-03,0.21403
356,2.67E-03,3.61E-02
357,2.69E-03,3.16E-02
358,2.69E-03,2.86E-02
359,2.68E-03,2.55E-02
360,2.63E-03,2.24E-02
361,2.58E-03,1.94E-02
362,2.54E-03,1.67E-02
363,2.50E-03,1.44E-02
364,2.49E-03,1.27E-02
365,2.49E-03,1.17E-02
366,2.48E-03,1.16E-02
367,2.48E-03,1.25E-02
368,2.48E-03,1.40E-02
369,2.48E-03,1.61E-02
370,2.48E-03,1.84E-02
371,2.48E-03,2.11E-02
372,2.48E-03,2.40E-02
373,2.48E-03,2.71E-02
374,2.47E-03,3.06E-02
375,2.47E-03,3.46E-02
376,2.47E-03,3.93E-02
377,2.50E-03,4.51E-02
378,2.49E-03,5.25E-02
379,2.44E-03,6.18E-02
380,2.36E-03,7.55E-02
381,2.37E-03,9.76E-02
382,2.29E-03,0.13137
383,2.07E-03,0.18121
384,2.05E-03,0.33145
385,2.23E-03,0.56548
386,2.19E-03,0.25465
387,2.26E-03,0.11588
388,2.41E-03,0.12511
389,2.57E-03,0.11015
390,2.55E-03,9.18E-02
391,2.48E-03,7.77E-02
392,2.42E-03,6.47E-02
393,2.37E-03,5.17E-02
394,2.38E-03,4.03E-02
395,2.37E-03,3.25E-02
396,2.36E-03,2.78E-02
397,2.33E-03,2.53E-02
398,2.31E-03,2.39E-02
399,2.29E-03,2.32E-02
400,2.27E-03,2.25E-02
401,2.24E-03,2.15E-02
402,2.25E-03,1.99E-02
403,2.27E-03,1.81E-02
404,2.29E-03,1.66E-02
405,2.32E-03,1.57E-02
406,2.34E-03,1.56E-02
407,2.38E-03,1.60E-02
408,2.40E-03,1.70E-02
409,2.44E-03,1.84E-02
410,2.48E-03,2.00E-02
411,2.48E-03,2.20E-02
412,2.48E-03,2.42E-02
413,2.49E-03,2.57E-02
414,2.50E-03,2.65E-02
415,2.52E-03,2.64E-02
416,2.56E-03,2.54E-02
417,2.54E-03,2.45E-02
418,2.46E-03,2.36E-02
419,2.34E-03,2.18E-02
420,2.30E-03,1.78E-02
421,2.39E-03,1.27E-02
422,2.49E-03,8.91E-03
423,2.34E-03,6.96E-03
424,2.21E-03,6.00E-03
425,2.22E-03,4.95E-03
426,2.34E-03,4.63E-03
427,2.08E-03,4.35E-03
428,2.04E-03,4.28E-03
429,2.17E-03,4.55E-03
430,2.74E-03,4.99E-03
431,3.12E-03,6.01E-03
432,3.06E-03,8.02E-03
433,2.82E-03,1.19E-02
434,2.63E-03,1.92E-02
435,2.38E-03,3.12E-02
436,2.43E-03,4.78E-02
482,2.60E-03,9.86E-03
483,2.64E-03,6.44E-03
484,2.76E-03,2.99E-03
485,1.35E-03,1.60E-02
486,1.62E-03,1.61E-02
487,1.68E-03,1.62E-02
488,1.22E-03,1.60E-02
489,1.49E-03,1.59E-02
490,1.36E-03,1.56E-02
491,1.89E-03,1.56E-02
492,1.75E-03,1.58E-02
493,1.31E-03,1.57E-02
494,1.36E-03,1.56E-02
495,2.71E-03,5.35E-03
496,3.27E-03,5.56E-03
497,3.37E-03,5.64E-03
498,2.75E-03,5.48E-03
499,2.71E-03,3.66E-03
500,3.94E-03,3.85E-03
501,3.14E-03,3.69E-03
502,1.18E-03,6.57E-03
503,1.40E-03,6.55E-03
504,1.43E-03,6.66E-03
505,1.16E-03,6.66E-03
506,1.17E-03,6.68E-03
507,3.15E-03,1.41E-02
508,2.75E-03,1.39E-02
509,3.17E-03,1.40E-02
510,2.73E-03,7.72E-03
511,2.82E-03,7.77E-03
512,2.56E-03,1.33E-02
513,2.41E-03,1.34E-02
514,2.51E-03,1.59E-02
515,2.80E-03,1.57E-02
516,2.61E-03,1.16E-02
517,2.71E-03,1.15E-02
518,2.78E-03,8.84E-03
519,2.05E-03,8.76E-03
520,3.32E-03,1.84E-02
521,2.87E-03,1.84E-02
522,2.49E-03,2.60E-02
523,2.83E-03,2.89E-02
524,1.64E-03,1.42E-04
525,1.95E-03,1.76E-04
526,3.69E-03,7.97E-03
527,3.39E-03,8.15E-03
528,3.08E-03,8.08E-03
529,3.03E-03,7.94E-03
530,3.01E-03,5.07E-03
531,2.76E-03,4.95E-03
532,2.54E-03,8.39E-03
533,3.57E-03,8.34E-03
534,2.67E-03,7.22E-03
535,2.18E-03,7.25E-03
536,2.42E-03,7.20E-03
537,2.75E-03,1.35E-02
538,2.88E-03,1.36E-02
539,2.35E-03,1.38E-02
540,3.11E-03,1.30E-02
541,2.67E-03,1.32E-02
542,1.94E-03,6.92E-03
543,2.52E-03,6.86E-03
544,1.92E-03,6.95E-03
545,3.18E-03,9.64E-03
546,3.20E-03,9.82E-03
547,2.75E-03,9.79E-03
548,3.05E-03,9.61E-03
549,2.97E-03,9.48E-03
550,2.76E-03,6.97E-03
551,2.04E-03,6.88E-03
552,1.95E-03,6.75E-03
553,3.07E-03,1.56E-02
554,2.42E-03,1.64E-02
555,2.39E-03,8.35E-04
556,3.28E-03,8.86E-04
557,1.71E-03,7.96E-04
558,1.85E-03,1.01E-03
559,2.54E-03,1.07E-03
560,2.74E-03,9.39E-03
561,2.51E-03,9.25E-03
562,2.76E-03,9.52E-03
563,1.94E-03,6.75E-03
564,2.08E-03,6.75E-03
565,1.74E-03,6.57E-03
566,1.59E-03,6.61E-03
567,2.02E-03,1.18E-04
568,2.23E-03,1.49E-04
569,2.05E-03,1.86E-04
570,3.06E-03,1.23E-02
571,1.80E-03,7.42E-03
572,2.36E-03,1.06E-02
573,2.16E-03,1.17E-02
574,1.58E-03,8.28E-03
575,1.51E-03,5.36E-03
576,1.31E-03,1.02E-02
577,2.43E-03,1.03E-02
578,2.98E-03,1.87E-02
579,3.44E-03,1.73E-02
580,1.80E-03,1.51E-02
581,1.89E-03,1.49E-02
582,2.07E-03,1.51E-02
583,2.28E-03,1.03E-02
584,1.88E-03,1.05E-02
585,2.16E-03,1.05E-02
586,2.20E-03,1.02E-02
587,2.58E-03,7.67E-03
588,2.45E-03,7.55E-03
589,1.69E-03,7.58E-03
590,2.59E-03,7.68E-03
591,2.12E-03,1.18E-02
592,2.13E-03,1.18E-02
593,2.55E-03,1.20E-02
594,2.47E-03,1.20E-02
595,2.42E-03,9.48E-03
596,2.40E-03,9.29E-03
597,2.20E-03,9.45E-03
598,1.42E-03,2.30E-03
599,1.01E-03,2.21E-03
600,9.10E-04,2.30E-03
601,2.20E-03,7.71E-03
602,2.49E-03,7.58E-03
603,2.30E-03,7.61E-03
604,1.86E-03,1.47E-02
605,2.22E-03,1.70E-02
606,1.72E-03,1.65E-02
607,1.62E-03,6.55E-03
608,1.64E-03,6.68E-03
609,1.43E-03,7.44E-03
610,1.33E-03,7.38E-03
611,1.53E-03,7.55E-03
612,1.37E-03,1.11E-02
613,1.38E-03,1.04E-02
614,1.41E-03,1.02E-02
615,1.32E-03,7.26E-03
616,1.50E-03,7.35E-03
617,1.38E-03,7.17E-03
618,1.66E-03,1.84E-02
619,1.58E-03,1.82E-02
620,1.81E-03,1.81E-02
621,2.30E-03,1.47E-02
622,2.31E-03,1.45E-02
623,2.47E-03,1.44E-02
624,2.61E-03,1.46E-02
625,1.32E-03,1.60E-02
626,1.51E-03,1.58E-02
627,1.45E-03,1.58E-02
628,3.34E-03,3.14E-03
629,1.68E-03,3.15E-03
630,2.58E-03,3.02E-03
631,2.57E-03,1.60E-02
632,2.02E-03,1.61E-02
633,2.17E-03,2.80E-03
634,2.11E-03,2.87E-03
635,2.21E-03,2.58E-03
636,2.37E-03,2.64E-03
637,1.80E-03,2.40E-03
638,3.15E-03,2.25E-03
639,2.65E-03,2.41E-03
640,1.95E-03,3.41E-03
641,1.94E-03,3.26E-03
642,2.05E-03,1.61E-02
643,1.69E-03,1.60E-02
644,3.56E-03,8.25E-03
645,2.35E-03,6.83E-03
646,2.39E-03,6.80E-03
647,2.50E-03,6.84E-03
648,1.87E-03,2.04E-03
649,2.94E-03,2.17E-03
650,2.43E-03,1.05E-02
651,2.34E-03,1.06E-02
652,2.38E-03,1.07E-02
653,2.25E-03,1.08E-02
654,2.22E-03,9.74E-03
655,1.59E-03,9.96E-03
656,2.59E-03,9.48E-03
657,2.22E-03,9.29E-03
658,2.38E-03,2.85E-02
659,2.13E-03,3.13E-02
660,2.99E-03,9.98E-03
661,3.09E-03,1.03E-02
662,2.05E-03,7.25E-04
663,1.65E-03,6.84E-04
664,3.56E-03,2.34E-02
665,3.32E-03,2.29E-02
666,2.93E-03,7.42E-03
667,2.98E-03,7.42E-03
668,1.90E-03,3.56E-03
669,1.98E-03,1.09E-02
670,2.52E-03,1.08E-02
671,3.23E-03,7.82E-03
672,3.17E-03,7.78E-03
673,2.24E-03,7.09E-03
674,2.18E-03,7.11E-03
675,2.31E-03,1.24E-02
676,2.62E-03,1.24E-02
677,1.98E-03,1.58E-02
678,2.10E-03,9.94E-03
679,1.71E-03,1.00E-02
680,2.63E-03,6.72E-03
681,2.56E-03,6.82E-03
682,2.25E-03,6.81E-03
683,1.92E-03,6.95E-03
684,3.32E-03,9.16E-03
685,4.10E-03,8.86E-03
686,3.99E-03,9.12E-03
687,2.01E-03,4.60E-03
688,2.43E-03,4.78E-03
689,2.08E-03,1.29E-02
690,1.97E-03,1.29E-02
691,2.17E-03,6.57E-03
692,2.02E-03,6.60E-03
693,2.33E-03,6.55E-03
694,2.13E-03,6.56E-03
695,2.47E-03,5.24E-03
696,1.77E-03,5.11E-03
697,2.82E-03,1.26E-02
698,3.12E-03,1.37E-02
699,1.81E-03,2.49E-03
700,1.54E-03,2.39E-03
701,2.31E-03,1.25E-03
702,2.35E-03,1.16E-03
703,2.76E-03,2.04E-02
704,2.61E-03,2.06E-02
705,1.88E-03,2.03E-02
706,1.58E-03,9.60E-04
707,2.15E-03,9.03E-04
708,2.31E-03,7.78E-03
709,2.31E-03,7.85E-03
710,2.04E-03,8.78E-03
711,2.15E-03,8.85E-03
712,2.01E-03,7.00E-03
713,1.54E-03,6.91E-03
714,2.70E-03,1.08E-02
715,2.54E-03,8.36E-03
716,2.16E-03,6.81E-03
717,2.27E-03,6.95E-03
718,2.06E-03,8.09E-03
719,2.30E-03,7.92E-03
720,2.38E-03,7.90E-03
721,2.20E-03,8.05E-03
722,2.30E-03,1.95E-02
723,2.20E-03,1.99E-02
724,1.91E-03,1.97E-02
725,2.26E-03,1.94E-02
726,1.12E-03,7.03E-03
727,1.41E-03,7.00E-03
728,1.53E-03,6.95E-03
729,2.13E-03,5.34E-03
730,2.30E-03,1.63E-02
731,2.57E-03,1.21E-02
732,1.33E-03,4.55E-03
733,1.85E-03,1.50E-02
734,1.80E-03,1.48E-02
735,1.96E-03,1.48E-02
736,2.01E-03,1.50E-02
737,2.60E-03,1.47E-02
738,2.13E-03,1.49E-02
739,2.51E-03,1.46E-02
740,2.50E-03,1.44E-02
741,2.44E-03,1.51E-02
742,2.60E-03,1.47E-02
743,2.50E-03,1.44E-02
744,2.08E-03,1.48E-02
745,2.26E-03,1.47E-02
746,2.42E-03,1.46E-02
747,2.37E-03,1.50E-02
748,2.39E-03,1.43E-02
749,2.25E-03,1.49E-02
750,1.97E-03,1.50E-02
751,2.03E-03,1.51E-02
752,1.84E-03,1.51E-02
753,2.50E-03,1.47E-02
754,2.30E-03,1.42E-02
755,2.55E-03,1.43E-02
756,2.53E-03,1.43E-02
757,2.30E-03,1.53E-02
758,2.42E-03,1.52E-02
759,2.69E-03,1.49E-02
760,2.65E-03,1.51E-02
761,3.17E-03,1.45E-02
762,2.45E-03,1.45E-02
763,2.48E-03,1.43E-02
764,2.18E-03,1.50E-02
765,1.84E-03,1.53E-02
766,1.92E-03,1.53E-02
767,2.20E-03,1.51E-02
768,2.12E-03,1.50E-02
769,2.35E-03,1.49E-02
770,2.43E-03,1.46E-02
771,2.35E-03,1.48E-02
772,2.64E-03,1.41E-02
773,2.64E-03,1.41E-02
774,2.10E-03,1.54E-02
775,2.39E-03,1.54E-02
776,2.67E-03,1.53E-02
777,3.32E-03,1.49E-02
778,2.91E-03,1.51E-02
779,2.70E-03,1.41E-02
780,3.05E-03,1.42E-02
781,3.57E-03,1.46E-02
782,2.58E-03,1.42E-02
783,2.47E-03,1.43E-02
784,2.51E-03,1.42E-02
785,2.26E-03,1.52E-02
786,1.92E-03,1.54E-02
787,2.33E-03,1.53E-02
788,2.34E-03,1.47E-02
789,2.66E-03,1.48E-02
790,3.15E-03,1.50E-02
791,2.54E-03,1.39E-02
792,2.42E-03,1.45E-02
793,2.39E-03,1.47E-02
794,2.59E-03,1.40E-02
795,1.33E-03,7.28E-03
796,1.30E-03,7.33E-03
797,1.49E-03,7.28E-03
798,2.82E-03,1.39E-02
799,2.07E-03,1.38E-02
800,2.18E-03,1.36E-02
801,2.57E-03,1.37E-02
802,1.95E-03,1.55E-02
803,2.21E-03,1.55E-02
804,2.62E-03,1.55E-02
805,2.93E-03,1.54E-02
806,3.06E-03,1.40E-02
807,3.01E-03,1.43E-02
808,2.66E-03,1.40E-02
809,2.55E-03,1.41E-02
810,2.46E-03,1.42E-02
811,2.49E-03,1.41E-02
812,2.30E-03,7.32E-03
813,3.05E-03,1.49E-02
814,3.01E-03,1.46E-02
815,2.62E-03,1.53E-02
816,2.25E-03,1.55E-02
817,2.45E-03,1.54E-02
818,2.19E-03,1.36E-02
819,2.42E-03,1.46E-02
820,2.92E-03,1.49E-02
821,2.89E-03,1.52E-02
822,3.00E-03,1.52E-02
823,2.64E-03,1.35E-02
824,2.45E-03,1.43E-02
825,2.52E-03,1.46E-02
826,2.64E-03,1.47E-02
827,2.78E-03,1.52E-02
828,2.72E-03,1.55E-02
829,2.86E-03,1.55E-02
830,2.10E-03,7.27E-03
831,1.81E-03,7.25E-03
832,2.41E-03,7.24E-03
833,1.94E-03,7.25E-03
834,1.87E-03,7.25E-03
835,1.73E-03,7.25E-03
836,1.96E-03,7.21E-03
837,2.00E-03,7.32E-03
838,2.40E-03,1.55E-02
839,2.25E-03,1.58E-02
840,2.52E-03,1.58E-02
841,2.17E-03,1.35E-02
842,2.49E-03,7.29E-03
843,2.10E-03,1.57E-02
844,2.38E-03,1.56E-02
845,3.21E-03,1.56E-02
846,2.74E-03,1.38E-02
847,2.91E-03,1.41E-02
848,2.55E-03,1.39E-02
849,2.58E-03,1.39E-02
850,2.41E-03,1.41E-02
851,2.40E-03,1.40E-02
852,2.85E-03,7.34E-03
853,2.89E-03,7.26E-03
854,2.85E-03,1.44E-02
855,2.90E-03,1.47E-02
856,2.85E-03,1.50E-02
857,2.71E-03,1.53E-02
858,2.18E-03,1.56E-02
859,3.10E-03,1.51E-02
860,2.83E-03,1.49E-02
861,2.70E-03,1.49E-02
862,2.70E-03,1.51E-02
863,2.87E-03,1.53E-02
864,2.60E-03,1.55E-02
865,2.62E-03,1.56E-02
866,2.24E-03,1.57E-02
867,2.85E-03,1.38E-02
868,2.46E-03,1.45E-02
869,2.77E-03,1.48E-02
870,3.03E-03,1.54E-02
871,2.38E-03,7.28E-03
872,1.74E-03,7.27E-03
873,1.79E-03,7.20E-03
874,2.40E-03,7.20E-03
875,1.79E-03,1.58E-02
876,1.95E-03,7.20E-03
877,1.83E-03,7.19E-03
878,2.10E-03,7.17E-03
879,2.28E-03,7.15E-03
880,2.35E-03,7.13E-03
881,1.69E-03,7.19E-03
882,1.69E-03,7.20E-03
883,2.23E-03,7.18E-03
884,1.92E-03,7.20E-03
885,2.08E-03,7.14E-03
886,1.99E-03,7.18E-03
887,2.23E-03,7.38E-03
888,2.42E-03,1.42E-02
889,2.51E-03,1.44E-02
890,2.60E-03,1.45E-02
891,2.96E-03,1.57E-02
892,2.23E-03,1.33E-02
893,2.30E-03,7.34E-03
894,2.68E-03,1.47E-02
895,2.66E-03,1.48E-02
896,2.21E-03,1.60E-02
897,2.34E-03,1.60E-02
898,2.02E-03,1.58E-02
899,3.00E-03,1.58E-02
900,2.60E-03,1.36E-02
901,2.57E-03,7.38E-03
902,2.59E-03,7.44E-03
903,2.50E-03,7.49E-03
904,2.55E-03,7.54E-03
905,2.39E-03,7.54E-03
906,2.44E-03,7.59E-03
907,2.54E-03,7.31E-03
908,2.51E-03,7.43E-03
909,2.79E-03,1.39E-02
910,2.65E-03,1.38E-02
911,2.42E-03,1.38E-02
912,2.38E-03,1.40E-02
913,2.35E-03,1.39E-02
914,2.70E-03,7.33E-03
915,2.82E-03,1.41E-02
916,2.55E-03,7.23E-03
917,2.88E-03,1.44E-02
918,2.54E-03,7.16E-03
919,2.86E-03,1.47E-02
920,2.29E-03,7.07E-03
921,2.37E-03,7.09E-03
922,2.92E-03,1.50E-02
923,2.91E-03,1.54E-02
924,2.15E-03,1.58E-02
925,1.83E-03,7.27E-03
926,2.66E-03,1.53E-02
927,2.49E-03,1.55E-02
928,2.59E-03,1.58E-02
929,1.97E-03,1.58E-02
